symbol,name,asset_type,exchange,currency,sector,provider_symbol,is_active,priority
TM,Toyota Motor Corp,STOCK,NYSE,USD,Consumer Discretionary,TM,1,63
NVO,Novo Nordisk A/S,STOCK,NYSE,USD,Health Care,NVO,1,64
SHEL,Shell plc,STOCK,NYSE,USD,Energy,SHEL,1,65
AZN,AstraZeneca plc,STOCK,NASDAQ,USD,Health Care,AZN,1,66
NVS,Novartis AG,STOCK,NYSE,USD,Health Care,NVS,1,67
BABA,Alibaba Group Holding Ltd,STOCK,NYSE,USD,Consumer Discretionary,BABA,1,68
SONY,Sony Group Corp,STOCK,NYSE,USD,Consumer Discretionary,SONY,1,69
USD,United States Dollar,FX,,USD,Currency,USD,1,70
BRL,Brazilian Real,FX,,BRL,Currency,BRL,1,71
EUR,Euro,FX,,EUR,Currency,EUR,1,72
GBP,British Pound Sterling,FX,,GBP,Currency,GBP,1,73
JPY,Japanese Yen,FX,,JPY,Currency,JPY,1,74
CHF,Swiss Franc,FX,,CHF,Currency,CHF,1,75
CAD,Canadian Dollar,FX,,CAD,Currency,CAD,1,76
AUD,Australian Dollar,FX,,AUD,Currency,AUD,1,77
NZD,New Zealand Dollar,FX,,NZD,Currency,NZD,1,78
CNY,Chinese Yuan,FX,,CNY,Currency,CNY,1,79
MXN,Mexican Peso,FX,,MXN,Currency,MXN,1,80
ARS,Argentine Peso,FX,,ARS,Currency,ARS,1,81
CLP,Chilean Peso,FX,,CLP,Currency,CLP,1,82
COP,Colombian Peso,FX,,COP,Currency,COP,1,83
ZAR,South African Rand,FX,,ZAR,Currency,ZAR,1,84
SEK,Swedish Krona,FX,,SEK,Currency,SEK,1,85
NOK,Norwegian Krone,FX,,NOK,Currency,NOK,1,86
DKK,Danish Krone,FX,,DKK,Currency,DKK,1,87
PLN,Polish Zloty,FX,,PLN,Currency,PLN,1,88
BTC,Bitcoin,CRYPTO,CRYPTO,USD,Crypto,bitcoin,1,89
ETH,Ethereum,CRYPTO,CRYPTO,USD,Crypto,ethereum,1,90
BNB,BNB,CRYPTO,CRYPTO,USD,Crypto,binancecoin,1,91
SOL,Solana,CRYPTO,CRYPTO,USD,Crypto,solana,1,92
XRP,XRP,CRYPTO,CRYPTO,USD,Crypto,ripple,1,93
ADA,Cardano,CRYPTO,CRYPTO,USD,Crypto,cardano,1,94
DOGE,Dogecoin,CRYPTO,CRYPTO,USD,Crypto,dogecoin,1,95
TRX,TRON,CRYPTO,CRYPTO,USD,Crypto,tron,1,96
AVAX,Avalanche,CRYPTO,CRYPTO,USD,Crypto,avalanche-2,1,97
LINK,Chainlink,CRYPTO,CRYPTO,USD,Crypto,chainlink,1,98
SELIC_DAILY,Selic Daily Rate,MACRO,,,Macro,11,1,99
SELIC_MONTHLY,Selic Monthly Accumulated,MACRO,,,Macro,4390,1,100
SELIC_ANNUALIZED_MONTHLY,Selic Annualized Monthly Rate,MACRO,,,Macro,4189,1,101
